text,label
R1,电阻
220Ω,电阻
R2 470Ω,电阻
R3,电阻
1kΩ,电阻
R4 10kΩ,电阻
R5,电阻
330Ω,电阻
R6 2.2kΩ,电阻
R7,电阻
560Ω,电阻
R8 100Ω,电阻
R9,电阻
100kΩ,电阻
R10 3.3kΩ,电阻
R11,电阻
4.7kΩ,电阻
R12 680Ω,电阻
R13,电阻
2.7kΩ,电阻
R14 15kΩ,电阻
R15,电阻
1MΩ,电阻
R16 22kΩ,电阻
R17,电阻
390Ω,电阻
R18 47kΩ,电阻
R19,电阻
68kΩ,电阻
R20 120Ω,电阻
R21,电阻
820Ω,电阻
R22 18kΩ,电阻
R23,电阻
27kΩ,电阻
R24 56kΩ,电阻
R25,电阻
1.5kΩ,电阻
R26 82kΩ,电阻
R27,电阻
3.9kΩ,电阻
R28 1.2kΩ,电阻
R29,电阻
47Ω,电阻
R30 5.6kΩ,电阻
R31,电阻
180Ω,电阻
R32 10Ω,电阻
R33,电阻
33kΩ,电阻
R34 6.8kΩ,电阻
R35,电阻
910Ω,电阻
R36 220kΩ,电阻
R37,电阻
470kΩ,电阻
R38 1M5Ω,电阻
R39,电阻
2.2MΩ,电阻
R40 3.3MΩ,电阻
R41,电阻
5.6MΩ,电阻
R42 10MΩ,电阻
R43,电阻
150Ω,电阻
R44 270Ω,电阻
R45,电阻
39kΩ,电阻
R46 8.2kΩ,电阻
R47,电阻
12kΩ,电阻
R48 16kΩ,电阻
R49,电阻
20kΩ,电阻
R50 30kΩ,电阻
R51,电阻
43kΩ,电阻
R52 51kΩ,电阻
R53,电阻
75kΩ,电阻
R54 91kΩ,电阻
R55,电阻
110Ω,电阻
R56 130Ω,电阻
R57,电阻
160Ω,电阻
R58 190Ω,电阻
R59,电阻
240Ω,电阻
R60 280Ω,电阻
R61,电阻
360Ω,电阻
R62 430Ω,电阻
C1,电容
10μF,电容
C2 22μF,电容
C3,电容
47μF,电容
C4 1μF,电容
C5,电容
100nF,电容
C6 220nF,电容
C7,电容
470nF,电容
C8 10nF,电容
C9,电容
22nF,电容
C10 47nF,电容
C11,电容
1nF,电容
C12 56nF,电容
C13,电容
68nF,电容
C14 82nF,电容
C15,电容
150nF,电容
C16 330nF,电容
C17,电容
560nF,电容
C18 680nF,电容
C19,电容
820nF,电容
C20 1μ5F,电容
C21,电容
2μ2F,电容
C22 3μ3F,电容
C23,电容
4μ7F,电容
C24 6μ8F,电容
C25,电容
8μ2F,电容
C26 10pF,电容
C27,电容
22pF,电容
C28 47pF,电容
C29,电容
100pF,电容
C30 220pF,电容
C31,电容
470pF,电容
C32 1n2F,电容
C33,电容
1n5F,电容
C34 2n2F,电容
C35,电容
3n3F,电容
C36 4n7F,电容
C37,电容
6n8F,电容
C38 8n2F,电容
C39,电容
12nF,电容
C40 15nF,电容
C41,电容
18nF,电容
C42 27nF,电容
C43,电容
33nF,电容
C44 39nF,电容
C45,电容
51nF,电容
C46 62nF,电容
C47,电容
75nF,电容
C48 87nF,电容
C49,电容
91nF,电容
C50 120nF,电容
C51,电容
180nF,电容
C52 270nF,电容
C53,电容
33nF,电容
C54 390nF,电容
C55,电容
510nF,电容
C56 620nF,电容
C57,电容
750nF,电容
C58 870nF,电容
C59,电容
910nF,电容
C60 1.2μF,电容
C61,电容
1.5μF,电容
C62 1.8μF,电容
C63,电容
2.7μF,电容
L1,电感
10mH,电感
L2 22mH,电感
L3,电感
47mH,电感
L4 1mH,电感
L5,电感
100μH,电感
L6 220μH,电感
L7,电感
470μH,电感
L8 10μH,电感
L9,电感
22μH,电感
L10 47μH,电感
L11,电感
56μH,电感
L12 68μH,电感
L13,电感
82μH,电感
L14 150μH,电感
L15 330μH,电感
L16,电感
560μH,电感
L17,电感
680μH,电感
L18,电感
820μH,电感
L19,电感
1.5mH,电感
L20,电感
2.2mH,电感
L21,电感
3.3mH,电感
L22,电感
4.7mH,电感
L23,电感
6.8mH,电感
L24,电感
8.2mH,电感
L25,电感
12mH,电感
L26,电感
15mH,电感
L27,电感
18mH,电感
L28,电感
27mH,电感
L29,电感
33mH,电感
L30,电感
