text,label,label_id
u4_esp8266,芯片,7
110v,压敏电阻,1
rv1,压敏电阻,1
u39,芯片,7
3a 1000v,二极管,0
l_filter_sdio_82uh,电感,4
modbus_ascii_rts,芯片,7
u41,芯片,7
profinet_power,芯片,7
can_low_reset,芯片,7
mipi_dsi_data1+,芯片,7
gpiog0_input,芯片,7
m11,电机,5
c_ceramic_4_20ma_10nf,电容,3
obd2_sae_j1850_pwm-,芯片,7
vcc_cam,芯片,7
vdd_gps,芯片,7
l_power_nfc_22uh,电感,4
47v,电机,5
lcd_rs_ctrl,芯片,7
r_voltage_div_top_100k,电阻,6
debug_test_rx,芯片,7
gpioc7_adc,芯片,7
2a 1200v,二极管,0
c_filter_uart_1nf,电容,3
devicenet_wake,芯片,7
can_low_term,电阻,6
thermal_sense,芯片,7
iso9141_2_l_line,芯片,7
gnd,接地,2
d40,二极管,0
gnd43,接地,2
lpc1768,芯片,7
power_monitor,芯片,7
r56 130ω,电阻,6
uart_tx,芯片,7
reset_n_pulldown,芯片,7
r_pullup_i2c_4_7k,电阻,6
profinet_rxd+,芯片,7
timer_clk,芯片,7
gpioa3_exti,芯片,7
cam_cs,芯片,7
0.5a 800v,二极管,0
buzzer_driver_ctrl,芯片,7
510mh,电感,4
4-20ma_loop+,电阻,6
100v/10ka,压敏电阻,1
3a 700v,二极管,0
r7,电阻,6
lin_slave_data,芯片,7
gpioh1_output,芯片,7
u44 stm32f412,芯片,7
adc2,芯片,7
m61,电机,5
usb3_tx2+,芯片,7
4-20ma_com,芯片,7
jtag_tdi_2,芯片,7
r_current_limit_2k2,电阻,6
r58 190ω,电阻,6
m29,电机,5
boot_mode_sel1,芯片,7
240v,压敏电阻,1
sclk,芯片,7
profibus_dp_power,芯片,7
33v,压敏电阻,1
sdio_d6,芯片,7
int_1,芯片,7
opamp_compensation,芯片,7
uart_rts_1,芯片,7
l16,电感,4
timer_ch2,芯片,7
iso9141_power,芯片,7
usb_dp,芯片,7
sdio_d3,芯片,7
modbus_ascii_cts,芯片,7
pwm_deadtime,芯片,7
zigbee_data,芯片,7
c_filter_zigbee_10nf,电容,3
vss_periph_gnd,芯片,7
gnd_4_20ma,接地,2
r_pulldown_spi_4_7k,电阻,6
hdmi_tx_data0,芯片,7
d27,二极管,0
stm32f030,芯片,7
devicenet_can_l,芯片,7
gnd_kwp2000,接地,2
gnd13,接地,2
r_load_relay_220r,电阻,6
d17,二极管,0
r33,电阻,6
vref_in,芯片,7
rv25,压敏电阻,1
stm32h753,芯片,7
c_electrolytic_5v_680uf,电容,3
d52,二极管,0
d_esd_eth,二极管,0
33nf,电容,3
dgnd,接地,2
hdmi_tx_data1_n,芯片,7
rs232_err,芯片,7
r_pullup_uart_4_7k,电阻,6
u26 stm32f429,芯片,7
kwp2000_k_line,芯片,7
560ω,电阻,6
timer_2_ch0,芯片,7
c_ceramic_nfc_10nf,电容,3
gpiod1_output,芯片,7
rv23,压敏电阻,1
obd2_wake,芯片,7
hart_reset,芯片,7
d_flyback_motor,二极管,0
spi_sclk_8mhz,芯片,7
1a 600v,二极管,0
r_term_4_20ma_250r,电阻,6
button_input,芯片,7
gpioc2_exti,芯片,7
rv61,压敏电阻,1
d_clamp_profibus_5v,二极管,0
vss_wifi_gnd,芯片,7
l39,电感,4
dgnd,接地,2
reset_n_watchdog,芯片,7
0.5a 600v,二极管,0
m51,电机,5
c6/l4,电容,3
iso9141_clk,芯片,7
l_filter_most_10uh,电感,4
680μh,电感,4
l30,电感,4
comp_inp0,芯片,7
43kω,电阻,6
22nf,电容,3
nfc_tx,芯片,7
vcc_lcd,芯片,7
rtc_clk_out,芯片,7
sdio_8bit_d6,芯片,7
d_led_driver_green,二极管,0
adc_diff_inn0,芯片,7
uart_rx_3,芯片,7
r41,电阻,6
r40 3.3mω,电阻,6
u8 51单片机,芯片,7
usart_clk,芯片,7
wifi_5g_rx,芯片,7
gnd,接地,2
rv32 280v,压敏电阻,1
0.3a 1200v,二极管,0
can_high_power,芯片,7
spi_1_sck,芯片,7
vdd_wifi,芯片,7
reset_request_mcu,芯片,7
stm32wb57,芯片,7
jtag_tdo,芯片,7
m13,电机,5
jtag_tdi,芯片,7
reset_request,芯片,7
5v,电机,5
91nf,电容,3
uart_tx_9600,芯片,7
rv11,压敏电阻,1
u1(stm32f103)+d1(1a 400v),芯片,7
3a 500v,二极管,0
r_current_limit_5k6,电阻,6
l60,电感,4
l_filter_spi_100uh,电感,4
vss_ldo_gnd,芯片,7
20v 0.65a,电机,5
comp_inp1,芯片,7
